FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-09-28,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2247,BOS,"Boston, MA",MIA,"Miami, FL",1300,,,,,,,1630,,,CANCELLED,B,NOT DIVERTED,210.0,,,1258.0,,,,,,2022
2022-06-17,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,683,RDU,"Raleigh/Durham, NC",CLT,"Charlotte, NC",644,,,,,,,755,,,CANCELLED,B,NOT DIVERTED,71.0,,,130.0,,,,,,2022
2022-04-15,Envoy Air,Envoy Air: MQ,MQ,20398,3801,MIA,"Miami, FL",ORF,"Norfolk, VA",1616,,,,,,,1846,,,CANCELLED,C,NOT DIVERTED,150.0,,,802.0,,,,,,2022
2022-03-17,Republic Airline,Republic Airline: YX,YX,20452,5777,LGA,"New York, NY",CMH,"Columbus, OH",1740,,,,,,,1937,,,CANCELLED,B,NOT DIVERTED,117.0,,,479.0,,,,,,2022
2022-09-30,Allegiant Air,Allegiant Air: G4,G4,20368,181,ABE,"Allentown/Bethlehem/Easton, PA",SFB,"Sanford, FL",1239,,,,,,,1501,,,CANCELLED,B,NOT DIVERTED,142.0,,,882.0,,,,,,2022
2022-01-20,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6197,ATL,"Atlanta, GA",IAH,"Houston, TX",1130,,,,,,,1258,,,CANCELLED,A,NOT DIVERTED,148.0,,,689.0,,,,,,2022
2022-01-01,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,273,DEN,"Denver, CO",EWR,"Newark, NJ",2330,,,,,,,506,,,CANCELLED,A,NOT DIVERTED,216.0,,,1605.0,,,,,,2022
2022-07-29,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,254,ORD,"Chicago, IL",BOS,"Boston, MA",600,,,,,,,921,,,CANCELLED,A,NOT DIVERTED,141.0,,,867.0,,,,,,2022
2022-07-21,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2045,TPA,"Tampa, FL",EWR,"Newark, NJ",1809,,,,,,,2101,,,CANCELLED,A,NOT DIVERTED,172.0,,,997.0,,,,,,2022
2022-01-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1141,MIA,"Miami, FL",CLT,"Charlotte, NC",1238,,,,,,,1448,,,CANCELLED,A,NOT DIVERTED,130.0,,,650.0,,,,,,2022
2022-01-02,JetBlue Airways,JetBlue Airways: B6,B6,20409,601,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",630,,,,,,,937,,,CANCELLED,A,NOT DIVERTED,187.0,,,1069.0,,,,,,2022
2022-02-03,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,1477,SFO,"San Francisco, CA",SEA,"Seattle, WA",1025,,,,,,,1235,,,CANCELLED,A,NOT DIVERTED,130.0,,,679.0,,,,,,2022
2022-01-02,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5134,DDC,"Dodge City, KS",DEN,"Denver, CO",1050,,,,,,,1133,,,CANCELLED,B,NOT DIVERTED,103.0,,,292.0,,,,,,2022
2022-11-10,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1896,MCO,"Orlando, FL",ORD,"Chicago, IL",1100,,,,,,,1305,,,CANCELLED,B,NOT DIVERTED,185.0,,,1005.0,,,,,,2022
2022-01-28,Republic Airline,Republic Airline: YX,YX,20452,4606,LGA,"New York, NY",SDF,"Louisville, KY",915,,,,,,,1148,,,CANCELLED,B,NOT DIVERTED,153.0,,,659.0,,,,,,2022
2022-08-18,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1492,IAH,"Houston, TX",BOS,"Boston, MA",1826,,,,,,,2321,,,CANCELLED,B,NOT DIVERTED,235.0,,,1597.0,,,,,,2022
2022-12-24,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,296,DEN,"Denver, CO",DAL,"Dallas, TX",1445,,,,,,,1745,,,CANCELLED,A,NOT DIVERTED,120.0,,,651.0,,,,,,2022
2022-12-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3335,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",1925,,,,,,,2045,,,CANCELLED,A,NOT DIVERTED,80.0,,,397.0,,,,,,2022
2022-08-22,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,850,DAL,"Dallas, TX",LGB,"Long Beach, CA",1225,,,,,,,1325,,,CANCELLED,B,NOT DIVERTED,180.0,,,1232.0,,,,,,2022
2022-01-07,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,161,PHX,"Phoenix, AZ",AUS,"Austin, TX",1020,,,,,,,1335,,,CANCELLED,A,NOT DIVERTED,135.0,,,872.0,,,,,,2022
2022-02-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1059,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",900,,,,,,,1008,,,CANCELLED,B,NOT DIVERTED,68.0,,,190.0,,,,,,2022
2022-09-30,Allegiant Air,Allegiant Air: G4,G4,20368,873,PIA,"Peoria, IL",PGD,"Punta Gorda, FL",1041,,,,,,,1415,,,CANCELLED,B,NOT DIVERTED,154.0,,,1045.0,,,,,,2022
2022-03-08,Republic Airline,Republic Airline: YX,YX,20452,5615,LGA,"New York, NY",BOS,"Boston, MA",600,,,,,,,716,,,CANCELLED,C,NOT DIVERTED,76.0,,,184.0,,,,,,2022
2022-01-16,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2382,RDU,"Raleigh/Durham, NC",TPA,"Tampa, FL",957,,,,,,,1150,,,CANCELLED,B,NOT DIVERTED,113.0,,,587.0,,,,,,2022
2022-06-23,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1855,ORD,"Chicago, IL",BOS,"Boston, MA",853,,,,,,,1217,,,CANCELLED,A,NOT DIVERTED,144.0,,,867.0,,,,,,2022
2022-02-03,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,836,STL,"St. Louis, MO",ATL,"Atlanta, GA",1055,,,,,,,1330,,,CANCELLED,B,NOT DIVERTED,95.0,,,484.0,,,,,,2022
2022-07-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2396,CLT,"Charlotte, NC",EYW,"Key West, FL",1830,1924.0,54.0,,,,,2043,,,CANCELLED,A,NOT DIVERTED,133.0,,,736.0,,,,,,2022
2022-11-01,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,599,COS,"Colorado Springs, CO",DEN,"Denver, CO",1718,,,,,,,1805,,,CANCELLED,A,NOT DIVERTED,47.0,,,73.0,,,,,,2022
2022-12-27,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3350,SRQ,"Sarasota/Bradenton, FL",DAL,"Dallas, TX",1600,,,,,,,1740,,,CANCELLED,A,NOT DIVERTED,160.0,,,934.0,,,,,,2022
2022-04-04,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,291,PIT,"Pittsburgh, PA",TPA,"Tampa, FL",1819,,,,,,,2045,,,CANCELLED,B,NOT DIVERTED,146.0,,,873.0,,,,,,2022
2022-05-27,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1569,SLC,"Salt Lake City, UT",PDX,"Portland, OR",1517,,,,,,,1609,,,CANCELLED,A,NOT DIVERTED,112.0,,,630.0,,,,,,2022
2022-06-02,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5313,MSN,"Madison, WI",LGA,"New York, NY",1020,,,,,,,1339,,,CANCELLED,C,NOT DIVERTED,139.0,,,812.0,,,,,,2022
2022-12-26,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,933,LGA,"New York, NY",MCO,"Orlando, FL",930,,,,,,,1232,,,CANCELLED,A,NOT DIVERTED,182.0,,,950.0,,,,,,2022
